root	status	buckets	gloss
Slw	no_gloss	-	
Sly	kept	-	roast, broil, fry
SmE	not_in_hanswehr	-	
Smd	kept	-	lord; eternal, everlasting (epithet of God)
Smm	kept	-	deafness
Smt	kept	-	silence
SnE	kept	-	do, make; to arrange, stage, put on; to produce, build, manufacture, fabricate, design
Snm	kept	-	idol, image
Snw	kept	-	one of two, twin brother
SrE	kept	-	epilepsy
SrH	kept	-	castle, palace, lofty edifice, imposing structure
SrSr	kept	-	a variety of cockroach (Blatta aegyptiaca; zool.); cricket (zool.)
SrT	not_in_hanswehr	-	
Srf	kept	-	turn; to turn away, avert; to dissuade, alienate, keep away
Srm	kept	-	be sharp; to be stern, hard, harsh, severe
Srr	kept	-	chirp, stridulate (cricket); to creak (door); to squeak, screech
Srx	kept	-	cry, yell, scream, shriek, shout; to cry for help; to call
SwE	no_gloss	-	
Swb	kept	-	hit; to be right, hold true, be to the point, hit the mark, be pertinent, be apposite (opinion)
Swf	kept	-	wool
Swm	kept	-	abstention, abstinence, abstemiousness; fasting, fast
Swr	no_gloss	-	
Swt	kept	-	sound (also phon.); voice; tone, strain
Sxr	kept	-	rocky, stony
Sxx	not_in_hanswehr	-	
SyH	kept	-	crying, clamor
SyS	not_in_hanswehr	-	
Syd	kept	-	hunting, hunt; angling, fishing; game, venison, prey, quarry
Syf	kept	-	summer
Syr	kept	-	crack (of the door); small salted fish
TEm	kept	-	eat; to taste; to relish, enjoy, savor (A s.th.)
TEn	kept	-	thrust, pierce, transfix; to stab; to defame, discredit, hurt, speak evil
THw	not_in_hanswehr	-	
TbE	kept	-	provide with an imprint, impress or impression; to impress with a stamp, seal or signet, leave or set one’s stamp, seal, mark, or impress
Tbq	kept	-	according to, corresponding to, in accordance with, in conformity with
TfA	not_in_hanswehr	-	
Tff	no_gloss	-	
Tfl	kept	-	tender, soft; potter’s clay, argil
Tfq	kept	-	begin, set out to do s.th.; to do s.th. suddenly
Tgy	kept	-	exceed proper bounds, overstep the bounds, be excessive; to be rough, tumultuous, rage (sea); to overflow, leave its banks (river)
Thr	kept	-	be clean, pure
TlE	kept	-	rise, ascend, come up (esp. of celestial bodies); to come into view, appear, show, become visible
TlH	kept	-	a variety of accacia (Acacia gummifera); banana tree; banana
Tlb	kept	-	look, search; to set out. get on one’s way, go to see; to request, apply
Tll	kept	-	used chiefly in the pl.: remains, ruins (of houses); remains, or traces, of an abandoned encampment
Tlq	kept	-	he cheerful, jovial, happy (face, countenance)
TmE	kept	-	covet, desire, wish, crave, strive, aspire; to expect; to hope
Tmm	kept	-	large quantity, huge amount; sea
Tmn	no_gloss	-	
Tms	kept	-	be effaced, be obliterated, be erased, be wiped out, be blotted out, be destroyed, be eradicated; to lose animation, become lusterless (eye, glance)
Tmv	kept	-	menstruate
TrH	kept	-	throw, cast, fling, toss; to throw, toss, or fling away, throw off, discard, dump
Trd	kept	-	drive away, chase away, push away, shove away, reject, repel, banish, exile, dismiss, drive out, expel, evict; to chase, hunt, hound
Trf	kept	-	eye; glance, look
Trq	kept	-	knock, rap, bang; to hammer, strike with a hammer, forge; to come over s.o., befall
Trw	kept	-	be or become fresh, succulent, moist, tender, soft, mild
TwE	kept	-	obey, be obedient
Twd	kept	-	mountain
Twf	kept	-	go about, walk about, ride about, travel about, move about, rove about, wander about, run around, tour; to go, walk, ride, run, circumambulate
Twl	kept	-	be or become long; to last long; to lengthen, grow longer, extend, be protracted, become drawn out
Twq	kept	-	be able, be in a position, be capable; to be able to bear or stand, bear, stand, sustain, endure
Twr	kept	-	one time
Twy	kept	-	fold, fold up, fold in, fold over, fold under, roll up; to shut, close; to keep secret, secrete, conceal, hide
Tyb	kept	-	goodness; scent, perfume
Tyn	kept	-	clay, potter’s clay, argil; soil; basis, foundation
Tyr	kept	-	birds, bird; augury, omen
