09-06 02:39:45.887  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:2 112 w334
09-06 02:39:45.887  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:3 112 w334
09-06 02:39:45.888  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:4 140 w334
09-06 02:39:45.888  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:5 112 w334
09-06 02:39:45.888  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:6 150 w334
09-06 02:39:45.889  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:7 140 w334
09-06 02:39:45.889  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:8 150 w334
09-06 02:39:45.889  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:9 150 w334
09-06 02:39:45.889  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:10 150 w334
09-06 02:39:46.441  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:11 150 w334
09-06 02:39:46.441  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:12 112 w334
09-06 02:39:46.441  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:13 140 w334
09-06 02:39:46.442  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:14 150 w334
09-06 02:39:46.442  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:15 188 w334
09-06 02:39:46.442  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:16 150 w334
09-06 02:39:46.442  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:17 150 w334
09-06 02:39:46.442  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:18 150 w334
09-06 02:39:46.442  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:19 150 w334
09-06 02:39:46.443  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 73:20 724 w334
09-06 02:40:35.819  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:1 208 w360
09-06 02:40:35.820  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:2 298 w360
09-06 02:40:35.820  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:3 336 w360
09-06 02:40:35.820  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:4 362 w360
09-06 02:40:35.823  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:5 298 w360
09-06 02:40:35.823  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:6 362 w360
09-06 02:40:35.823  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:7 362 w360
09-06 02:40:35.823  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:8 336 w360
09-06 02:40:35.824  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:9 336 w360
09-06 02:40:35.824  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:10 362 w360
